nace_r2;geo;n2015
B;AT;7089
B;AT1;2343
B;AT11;232
B;AT12;1898
B;AT13;213
B;AT2;2170
B;AT21;715
B;AT22;1455
B;AT3;2576
B;AT31;1289
B;AT32; 
B;AT33;632
B;AT34; 
B;BE;2685
B;BE1;92
B;BE10;92
B;BE2;677
B;BE21;285
B;BE22; 
B;BE23; 
B;BE24;15
B;BE25;36
B;BE3;1912
B;BE31;263
B;BE32;1065
B;BE33;274
B;BE34;108
B;BE35;202
B;BG;24738
B;BG3;12377
B;BG31;1150
B;BG32;1653
B;BG33;756
B;BG34;8818
B;BG4;12361
B;BG41;7899
B;BG42;4462
B;CY;422
B;CY0;422
B;CY00;422
B;CZ;29613
B;CZ0;29613
B;CZ01;433
B;CZ02;1144
B;CZ03;1299
B;CZ04;9256
B;CZ05;1904
B;CZ06;2454
B;CZ07;791
B;CZ08;12331
B;CZZ; 
B;CZZZ; 
B;DE;60686
B;DE1;5111
B;DE11;1852
B;DE12;534
B;DE13;1387
B;DE14;1338
B;DE2;6658
B;DE21;1975
B;DE22;897
B;DE23;1409
B;DE24;647
B;DE25;746
B;DE26;430
B;DE27;554
B;DE3; 
B;DE30; 
B;DE4;4892
B;DE40;4892
B;DE41; 
B;DE42; 
B;DE5;0
B;DE50;0
B;DE6; 
B;DE60; 
B;DE7;1209
B;DE71;463
B;DE72;408
B;DE73;338
B;DE8; 
B;DE80; 
B;DE9;6779
B;DE91;841
B;DE92;1774
B;DE93;1217
B;DE94;2947
B;DEA;22984
B;DEA1;3903
B;DEA2;5894
B;DEA3;8017
B;DEA4;290
B;DEA5;4880
B;DEB;2258
B;DEB1; 
B;DEB2; 
B;DEB3;551
B;DEC; 
B;DEC0; 
B;DED;3897
B;DED1; 
B;DED2;384
B;DED3; 
B;DED4;2534
B;DED5;979
B;DEE;3818
B;DEE0;3818
B;DEF;725
B;DEF0;725
B;DEG;804
B;DEG0;804
B;DK;4257
B;DK0;4257
B;DK01;1178
B;DK02;252
B;DK03;1878
B;DK04;411
B;DK05;538
B;EE;4318
B;EE0;4318
B;EE00;4318
B;EL;5716
B;EL1; 
B;EL11; 
B;EL12; 
B;EL13; 
B;EL14; 
B;EL2; 
B;EL21; 
B;EL22; 
B;EL23; 
B;EL24; 
B;EL25; 
B;EL3;1495
B;EL30;1495
B;EL4;284
B;EL41;51
B;EL42;147
B;EL43;86
B;EL5;3191
B;EL51;1159
B;EL52;1541
B;EL53;228
B;EL54;263
B;EL6;746
B;EL61;77
B;EL62;23
B;EL63;87
B;EL64;434
B;EL65;125
B;ELZ;0
B;ELZZ;0
B;ES;19927
B;ES1;4742
B;ES11;2108
B;ES12;2482
B;ES13;152
B;ES2;1863
B;ES21;537
B;ES22;169
B;ES23;101
B;ES24;1055
B;ES3;1340
B;ES30;1340
B;ES4;4188
B;ES41;2527
B;ES42;803
B;ES43;858
B;ES5;4184
B;ES51;2340
B;ES52;1501
B;ES53;343
B;ES6;3325
B;ES61;2653
B;ES62; 
B;ES63; 
B;ES64;0
B;ES7;285
B;ES70;285
B;FI;6191
B;FI1; 
B;FI13; 
B;FI18; 
B;FI19;1115
B;FI1A; 
B;FI1B; 
B;FI1C;743
B;FI1D;3964
B;FI2; 
B;FI20; 
B;FIZ; 
B;FIZZ; 
B;FR;20309
B;FR1;6387
B;FR10;6387
B;FR2;2208
B;FR21;709
B;FR22;193
B;FR23; 
B;FR24;338
B;FR25;307
B;FR26; 
B;FR3; 
B;FR30; 
B;FR4;1195
B;FR41;460
B;FR42;452
B;FR43;284
B;FR5; 
B;FR51;1432
B;FR52;851
B;FR53; 
B;FR6;2178
B;FR61;961
B;FR62;998
B;FR63;219
B;FR7;1774
B;FR71;1575
B;FR72;199
B;FR8; 
B;FR81; 
B;FR82;730
B;FR83;179
B;FR9; 
B;FR91; 
B;FR92; 
B;FR93; 
B;FR94; 
B;FRA;811
B;FRA1;107
B;FRA2; 
B;FRA3; 
B;FRA4;111
B;FRA5; 
B;FRZ;81
B;FRZZ;81
B;HR;12507
B;HR0;12507
B;HR03;3689
B;HR04;8818
B;HU;4228
B;HU1;623
B;HU10;623
B;HU2;1993
B;HU21;1007
B;HU22;727
B;HU23;259
B;HU3;1612
B;HU31;767
B;HU32;318
B;HU33;527
B;IE; 
B;IE0; 
B;IE01; 
B;IE02; 
B;IS;141
B;IS0;141
B;IS00;141
B;IT;21588
B;ITC;6593
B;ITC1;1323
B;ITC2;34
B;ITC3;313
B;ITC4;4923
B;ITD; 
B;ITD1; 
B;ITD2; 
B;ITD3; 
B;ITD4; 
B;ITD5; 
B;ITE; 
B;ITE1; 
B;ITE2; 
B;ITE3; 
B;ITE4; 
B;ITF;4576
B;ITF1;1482
B;ITF2;98
B;ITF3;671
B;ITF4;1288
B;ITF5;805
B;ITF6;232
B;ITG;2769
